Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,subtype,AssemblyName,quality (run)
SRR925703,RNA-Seq,152,4060498816,PRJNA210428,SAMN02225465,2783919106,HCC1395,breast cancer,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX317710,GSM1172863,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172863,breast cancer cell line,SRP026537,Claudin-low,,
SRR925704,RNA-Seq,152,4835439048,PRJNA210428,SAMN02225468,3096374967,HCC1419,breast cancer,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX317711,GSM1172864,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172864,breast cancer cell line,SRP026537,Luminal,,
SRR925705,RNA-Seq,152,4378506072,PRJNA210428,SAMN02225467,2220985540,HCC1428,breast cancer,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX317712,GSM1172865,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172865,breast cancer cell line,SRP026537,Luminal,,
SRR925706,RNA-Seq,152,4917564800,PRJNA210428,SAMN02225474,2984089415,HCC1569,breast cancer,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX317713,GSM1172867,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172867,breast cancer cell line,SRP026537,Basal,,
SRR925707,RNA-Seq,152,3278967560,PRJNA210428,SAMN02225471,1852586630,HCC1599,breast cancer,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX317714,GSM1172868,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172868,breast cancer cell line,SRP026537,Basal,,
SRR925708,RNA-Seq,152,3662824408,PRJNA210428,SAMN02225470,1829478823,HCC1806,breast cancer,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX317715,GSM1172869,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172869,breast cancer cell line,SRP026537,Basal,,
SRR925709,RNA-Seq,152,3737288904,PRJNA210428,SAMN02225469,1874833188,HCC1937,breast cancer,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX317716,GSM1172870,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172870,breast cancer cell line,SRP026537,Basal,,
SRR925710,RNA-Seq,152,4862076440,PRJNA210428,SAMN02225473,3143031167,HCC1954,breast cancer,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX317717,GSM1172871,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172871,breast cancer cell line,SRP026537,Basal,,
SRR925711,RNA-Seq,152,7078507760,PRJNA210428,SAMN02225573,3696894753,HCC202,breast cancer,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX317718,GSM1172872,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172872,breast cancer cell line,SRP026537,Luminal,,
SRR925713,RNA-Seq,152,4779965280,PRJNA210428,SAMN02225581,2856751047,HCC3153,breast cancer,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX317720,GSM1172874,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172874,breast cancer cell line,SRP026537,Basal,,
SRR925714,RNA-Seq,152,4876146168,PRJNA210428,SAMN02225574,3152704253,HCC38,breast cancer,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX317721,GSM1172875,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172875,breast cancer cell line,SRP026537,Claudin-low,,
SRR925715,RNA-Seq,152,4941111728,PRJNA210428,SAMN02225580,3058952673,HCC70,breast cancer,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX317722,GSM1172876,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172876,breast cancer cell line,SRP026537,Basal,,
SRR925716,RNA-Seq,152,4446179968,PRJNA210428,SAMN02225579,2627209874,HS578T,breast cancer,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX317723,GSM1172877,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172877,breast cancer cell line,SRP026537,Claudin-low,,
SRR925717,RNA-Seq,202,4289696442,PRJNA210428,SAMN02225516,2630764482,JIMT1,breast cancer,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX317724,GSM1172878,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172878,breast cancer cell line,SRP026537,Basal,,
SRR925718,RNA-Seq,154,4880165248,PRJNA210428,SAMN02225520,2642740675,LY2,breast cancer,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX317725,GSM1172879,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172879,breast cancer cell line,SRP026537,Luminal,,PHRED_64
SRR925719,RNA-Seq,152,4118633496,PRJNA210428,SAMN02225572,2452425343,MB157,breast cancer,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX317726,GSM1172881,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172881,breast cancer cell line,SRP026537,,,
SRR925720,RNA-Seq,152,4848508008,PRJNA210428,SAMN02225577,2893244199,MCF10A,breast cancer,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX317727,GSM1172882,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172882,breast cancer cell line,SRP026537,Non-malignant,,
SRR925721,RNA-Seq,152,4294787968,PRJNA210428,SAMN02225575,2498778149,MCF10F,breast cancer,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX317728,GSM1172883,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172883,breast cancer cell line,SRP026537,Non-malignant,,
SRR925723,RNA-Seq,152,4785610560,PRJNA210428,SAMN02225578,3119409922,MCF7,breast cancer,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX317730,GSM1172885,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172885,breast cancer cell line,SRP026537,Luminal,,
SRR925724,RNA-Seq,152,4806335608,PRJNA210428,SAMN02225576,3004397205,MDAMB134VI,breast cancer,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX317731,GSM1172886,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172886,breast cancer cell line,SRP026537,Luminal,,
SRR925725,RNA-Seq,202,8246990168,PRJNA210428,SAMN02225557,5050288543,MDAMB175,breast cancer,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX317732,GSM1172888,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172888,breast cancer cell line,SRP026537,Luminal,,
SRR925726,RNA-Seq,152,5029897664,PRJNA210428,SAMN02225570,3044998146,MDAMB231,breast cancer,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX317733,GSM1172889,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172889,breast cancer cell line,SRP026537,Claudin-low,,
SRR925727,RNA-Seq,202,5571585816,PRJNA210428,SAMN02225571,3419209762,MDAMB361,breast cancer,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX317734,GSM1172890,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172890,breast cancer cell line,SRP026537,Luminal,,
SRR925728,RNA-Seq,152,3631004880,PRJNA210428,SAMN02225551,2099041062,MX1,breast cancer,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX317735,GSM1172893,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172893,breast cancer cell line,SRP026537,,,
SRR925729,RNA-Seq,152,4018021960,PRJNA210428,SAMN02225567,2403945352,SKBR3,breast cancer,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX317736,GSM1172895,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172895,breast cancer cell line,SRP026537,Luminal,,
SRR925734,RNA-Seq,152,3109057856,PRJNA210428,SAMN02225550,1761442044,SUM229PE,breast cancer,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX317741,GSM1172902,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172902,breast cancer cell line,SRP026537,,,
SRR925735,RNA-Seq,152,4304954184,PRJNA210428,SAMN02225561,2620543190,SUM52PE,breast cancer,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX317742,GSM1172903,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172903,breast cancer cell line,SRP026537,Luminal,,
SRR925736,RNA-Seq,152,4543146848,PRJNA210428,SAMN02225566,2787435177,T47D,breast cancer,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX317743,GSM1172904,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172904,breast cancer cell line,SRP026537,Luminal,,
SRR925737,RNA-Seq,152,3922562464,PRJNA210428,SAMN02225539,2259063547,T47D Kbluc,breast cancer,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX317744,GSM1172905,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172905,breast cancer cell line,SRP026537,,,
SRR925740,RNA-Seq,152,3747302360,PRJNA210428,SAMN02225542,2195871743,ZR751,breast cancer,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX317747,GSM1172908,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172908,breast cancer cell line,SRP026537,Luminal,,
SRR925741,RNA-Seq,152,4444887512,PRJNA210428,SAMN02225555,2962297641,ZR7530,breast cancer,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX317748,GSM1172909,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172909,breast cancer cell line,SRP026537,Luminal,,
SRR925742,RNA-Seq,152,4253695832,PRJNA210428,SAMN02225564,2139823332,ZR75B,breast cancer,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX317749,GSM1172910,Illumina Genome Analyzer IIx,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1172910,breast cancer cell line,SRP026537,Luminal,,
SRR925743,OTHER,200,12332931000,PRJNA210427,SAMN02225537,5474885630,184A1,breast cancer,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX317750,GSM1172932,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172932,breast cancer cell line,SRP026538,Non-malignant,GCA_000001405.13,
SRR925744,OTHER,200,12589136000,PRJNA210427,SAMN02225475,5897422642,184B5,breast cancer,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX317751,GSM1172933,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172933,breast cancer cell line,SRP026538,Non-malignant,GCA_000001405.13,
SRR925745,OTHER,202,15567257058,PRJNA210427,SAMN02225494,7401828766,21MT1,breast cancer,GEO,public,"bam,sra","gs,s3","gs.US,s3.us-east-1",SRX317752,GSM1172934,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172934,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925746,OTHER,200,13616805000,PRJNA210427,SAMN02225481,6547086855,21MT2,breast cancer,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX317753,GSM1172935,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172935,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925747,OTHER,200,14730056200,PRJNA210427,SAMN02225476,6924891270,21NT,breast cancer,GEO,public,"sra,bam","gs,s3","gs.US,s3.us-east-1",SRX317754,GSM1172936,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172936,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925748,OTHER,200,13561992600,PRJNA210427,SAMN02225478,6316237595,21PT,breast cancer,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX317755,GSM1172937,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172937,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925749,OTHER,200,13130226200,PRJNA210427,SAMN02225480,6173349113,600MPE,breast cancer,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX317756,GSM1172938,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172938,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925750,OTHER,210,13059204048,PRJNA210427,SAMN02225477,6855286005,AU565,breast cancer,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX317757,GSM1172939,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172939,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925751,OTHER,202,11573118734,PRJNA210427,SAMN02225479,5941479257,BT20,breast cancer,GEO,public,"bam,sra","gs,s3","s3.us-east-1,gs.US",SRX317758,GSM1172940,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172940,breast cancer cell line,SRP026538,Basal,GCA_000001405.13,
SRR925752,OTHER,202,11814298452,PRJNA210427,SAMN02225483,5920427708,BT474,breast cancer,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX317759,GSM1172941,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172941,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925753,OTHER,200,12924698800,PRJNA210427,SAMN02225487,6017487598,BT483,breast cancer,GEO,public,"sra,bam","s3,gs","gs.US,s3.us-east-1",SRX317760,GSM1172942,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172942,breast cancer cell line,SRP026538,Luminal,GCA_000001405.13,
SRR925754,OTHER,210,11985351364,PRJNA210427,SAMN02225493,6241286229,BT549,breast cancer,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX317761,GSM1172943,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172943,breast cancer cell line,SRP026538,Claudin-low,GCA_000001405.13,
SRR925755,OTHER,200,13509922000,PRJNA210427,SAMN02225488,6302445727,CAL120,breast cancer,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX317762,GSM1172944,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172944,breast cancer cell line,SRP026538,,GCA_000001405.13,
SRR925756,OTHER,200,12905691800,PRJNA210427,SAMN02225482,6013678615,CAL148,breast cancer,GEO,public,"bam,sra","s3,gs","gs.US,s3.us-east-1",SRX317763,GSM1172945,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172945,breast cancer cell line,SRP026538,,GCA_000001405.13,
SRR925757,OTHER,202,20675311050,PRJNA210427,SAMN02225485,10475909853,CAL51,breast cancer,GEO,public,"sra,bam","s3,gs","s3.us-east-1,gs.US",SRX317764,GSM1172946,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172946,breast cancer cell line,SRP026538,,GCA_000001405.13,
SRR925758,OTHER,202,15938265812,PRJNA210427,SAMN02225490,7481992862,CAL851,breast cancer,GEO,public,"bam,sra","s3,gs","s3.us-east-1,gs.US",SRX317765,GSM1172947,Illumina Genome Analyzer IIx,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2013-08-28T00:00:00Z,GSM1172947,breast cancer cell line,SRP026538,,GCA_000001405.13,
