,exonic_length
ENSG00000051620,11325
ENSG00000051825,16569
ENSG00000052126,14721
ENSG00000052344,4768
ENSG00000052723,8021
ENSG00000052749,12103
ENSG00000052795,12130
ENSG00000052802,4643
ENSG00000052841,17216
ENSG00000052850,5723
ENSG00000053108,8869
ENSG00000053254,19147
ENSG00000053328,1889
ENSG00000053371,3259
ENSG00000053372,2888
ENSG00000053438,3864
ENSG00000053501,4558
ENSG00000053524,25428
ENSG00000053702,3525
ENSG00000053747,18517
ENSG00000053770,16404
ENSG00000053900,12082
ENSG00000053918,6595
ENSG00000054116,7130
ENSG00000054118,6155
ENSG00000054148,3492
ENSG00000054179,3599
ENSG00000054219,9815
ENSG00000054267,18219
ENSG00000054277,7072
ENSG00000054282,7112
ENSG00000054356,13839
ENSG00000054392,9030
ENSG00000054523,30975
ENSG00000054598,3982
ENSG00000054611,11925
ENSG00000054654,40872
ENSG00000054690,23319
ENSG00000054793,8070
ENSG00000054796,3049
ENSG00000054803,3151
ENSG00000054938,4872
ENSG00000054965,9326
ENSG00000054967,11188
ENSG00000054983,9922
ENSG00000055044,4524
ENSG00000055070,9952
ENSG00000055118,10932
ENSG00000055130,12996
ENSG00000055147,12504
ENSG00000055163,17780
ENSG00000055208,15624
ENSG00000055211,2580
ENSG00000055332,14942
ENSG00000055483,19456
ENSG00000055609,31287
ENSG00000055732,11650
ENSG00000055813,4108
ENSG00000055917,13157
ENSG00000055950,7107
ENSG00000055955,8087
ENSG00000055957,7527
ENSG00000056050,2081
ENSG00000056097,12116
ENSG00000056277,4740
ENSG00000056291,5686
ENSG00000056487,9821
ENSG00000056558,4604
ENSG00000056586,17036
ENSG00000056678,333
ENSG00000056736,4321
ENSG00000056972,14792
ENSG00000056998,7991
ENSG00000057019,15040
ENSG00000057149,2600
ENSG00000057252,12219
ENSG00000057294,10293
ENSG00000057468,3250
ENSG00000057593,9282
ENSG00000057608,7081
ENSG00000057657,13028
ENSG00000057663,8072
ENSG00000057704,10221
ENSG00000057757,2350
ENSG00000057935,15124
ENSG00000058056,9208
ENSG00000058063,12315
ENSG00000058085,7595
ENSG00000058091,15369
ENSG00000058262,8076
ENSG00000058272,21222
ENSG00000058335,12101
ENSG00000058404,15932
ENSG00000058453,11131
ENSG00000058600,16231
ENSG00000058668,21037
ENSG00000058673,30991
ENSG00000058729,7402
ENSG00000058799,3435
ENSG00000058804,4901
ENSG00000058866,13727
ENSG00000059122,18907
ENSG00000059145,16991
ENSG00000059377,11305
ENSG00000059378,9098
ENSG00000059573,5173
ENSG00000059588,10505
ENSG00000059691,16877
ENSG00000059728,12751
ENSG00000059758,8488
ENSG00000059769,4616
ENSG00000059804,13004
ENSG00000059915,9164
ENSG00000060069,8079
ENSG00000060138,13945
ENSG00000060140,4226
ENSG00000060237,30098
ENSG00000060303,407
ENSG00000060339,10118
ENSG00000060491,5978
ENSG00000060558,3170
ENSG00000060566,4427
ENSG00000060642,20100
ENSG00000060656,11618
ENSG00000060688,6244
ENSG00000060709,11743
ENSG00000060718,16936
ENSG00000060749,19720
ENSG00000060762,2861
ENSG00000060971,14835
ENSG00000060982,20233
ENSG00000061273,17978
ENSG00000061337,7193
ENSG00000061455,10131
ENSG00000061492,4688
ENSG00000061656,4363
ENSG00000061676,24995
ENSG00000061794,3862
ENSG00000061918,8317
ENSG00000061936,17202
ENSG00000061938,25346
ENSG00000061987,27399
ENSG00000062038,8895
ENSG00000062096,2725
ENSG00000062194,11656
ENSG00000062282,13546
ENSG00000062370,8190
ENSG00000062485,16858
ENSG00000062524,6880
ENSG00000062582,3953
ENSG00000062598,11701
ENSG00000062650,10798
ENSG00000062716,13698
ENSG00000062725,11617
ENSG00000062822,8176
ENSG00000063015,13727
ENSG00000063046,8720
ENSG00000063127,5499
ENSG00000063169,13513
ENSG00000063176,15561
ENSG00000063177,11402
ENSG00000063180,2533
ENSG00000063241,6816
ENSG00000063244,6040
ENSG00000063245,19587
ENSG00000063322,12158
ENSG00000063438,7187
ENSG00000063515,1030
ENSG00000063587,25261
ENSG00000063601,10230
ENSG00000063660,9442
ENSG00000063761,8594
ENSG00000063854,9049
ENSG00000063978,13747
ENSG00000064012,12251
ENSG00000064042,26983
ENSG00000064102,4652
ENSG00000064115,9323
ENSG00000064195,3431
ENSG00000064199,6640
ENSG00000064201,8818
ENSG00000064205,8018
ENSG00000064218,2987
ENSG00000064225,14131
ENSG00000064270,11269
ENSG00000064300,4883
ENSG00000064309,16306
ENSG00000064313,8617
ENSG00000064393,18163
ENSG00000064419,6609
ENSG00000064489,3686
ENSG00000064490,6489
ENSG00000064545,8358
ENSG00000064547,8246
ENSG00000064601,10832
ENSG00000064607,19377
ENSG00000064651,15699
ENSG00000064652,6039
ENSG00000064655,4323
ENSG00000064666,9312
ENSG00000064687,17092
ENSG00000064692,13581
ENSG00000064703,9213
ENSG00000064726,5224
ENSG00000064763,7572
ENSG00000064787,8912
ENSG00000064835,2734
ENSG00000064886,6159
ENSG00000064932,10273
ENSG00000064933,9574
ENSG00000064961,10607
ENSG00000064989,12151
ENSG00000064995,3420
ENSG00000064999,9604
ENSG00000065000,18431
ENSG00000065029,12323
ENSG00000065054,6735
ENSG00000065057,4986
ENSG00000065060,10096
ENSG00000065135,9035
ENSG00000065150,18866
ENSG00000065154,4354
ENSG00000065183,10544
ENSG00000065243,8324
ENSG00000065268,5203
ENSG00000065308,7036
ENSG00000065320,6473
ENSG00000065325,6922
ENSG00000065328,8915
ENSG00000065357,27080
ENSG00000065361,19516
ENSG00000065371,8929
ENSG00000065413,17107
ENSG00000065427,6427
ENSG00000065457,5993
ENSG00000065485,5504
ENSG00000065491,3449
ENSG00000065518,4030
ENSG00000065526,15961
ENSG00000065534,35214
ENSG00000065548,5069
ENSG00000065559,12990
ENSG00000065600,4106
ENSG00000065609,13596
ENSG00000065613,9063
ENSG00000065615,9847
ENSG00000065618,9665
ENSG00000065621,17310
ENSG00000065665,8984
ENSG00000065675,4555
ENSG00000065717,8973
ENSG00000065802,10343
ENSG00000065809,23720
ENSG00000065833,3324
ENSG00000065882,15911
ENSG00000065883,44824
ENSG00000065911,9295
ENSG00000065923,13611
ENSG00000065970,7380
ENSG00000065978,4349
ENSG00000065989,11608
ENSG00000066027,4437
ENSG00000066032,13316
ENSG00000066044,8775
ENSG00000066056,9904
ENSG00000066084,11351
ENSG00000066117,10698
ENSG00000066135,5671
ENSG00000066136,15578
ENSG00000066185,3129
ENSG00000066230,9397
ENSG00000066248,5811
ENSG00000066279,12028
ENSG00000066294,17672
ENSG00000066322,7602
ENSG00000066336,3845
ENSG00000066379,5160
ENSG00000066382,10518
ENSG00000066405,8149
ENSG00000066422,8306
ENSG00000066427,15896
ENSG00000066455,4101
ENSG00000066468,22803
ENSG00000066557,2828
ENSG00000066583,2396
ENSG00000066629,16017
ENSG00000066651,7554
ENSG00000066654,11796
ENSG00000066697,5484
ENSG00000066735,7167
ENSG00000066739,15290
ENSG00000066777,15022
ENSG00000066813,14777
ENSG00000066827,14038
ENSG00000066855,8573
ENSG00000066923,12806
ENSG00000066926,20404
ENSG00000066933,34617
ENSG00000067048,7810
ENSG00000067057,7735
ENSG00000067064,7479
ENSG00000067066,19700
ENSG00000067082,13445
ENSG00000067113,3008
ENSG00000067141,13235
ENSG00000067167,6545
ENSG00000067177,10561
ENSG00000067182,10164
ENSG00000067191,13311
ENSG00000067208,8882
ENSG00000067221,16970
ENSG00000067225,16762
ENSG00000067248,7245
ENSG00000067334,9641
ENSG00000067365,11550
ENSG00000067369,17763
ENSG00000067445,15039
ENSG00000067533,8250
ENSG00000067560,3957
ENSG00000067596,13000
ENSG00000067601,1020
ENSG00000067606,12009
ENSG00000067646,11200
ENSG00000067704,4589
ENSG00000067715,10568
ENSG00000067798,21849
ENSG00000067829,6134
ENSG00000067836,9797
ENSG00000067840,8481
ENSG00000067842,12082
ENSG00000067900,13900
ENSG00000067955,17477
ENSG00000067992,17684
ENSG00000068001,11144
ENSG00000068024,20400
ENSG00000068028,9657
ENSG00000068078,8487
ENSG00000068079,4001
ENSG00000068097,11696
ENSG00000068120,11033
ENSG00000068137,9320
ENSG00000068305,23879
ENSG00000068308,9491
ENSG00000068323,5079
ENSG00000068354,5566
ENSG00000068366,23236
ENSG00000068383,4835
ENSG00000068394,1647
ENSG00000068400,9935
ENSG00000068438,7806
ENSG00000068489,9904
ENSG00000068615,15150
ENSG00000068650,35807
ENSG00000068654,16896
ENSG00000068697,1744
ENSG00000068724,24012
ENSG00000068745,19679
ENSG00000068781,6755
ENSG00000068784,6138
ENSG00000068796,12085
ENSG00000068831,11572
ENSG00000068878,14399
ENSG00000068885,14903
ENSG00000068903,14215
ENSG00000068912,4121
ENSG00000068971,3970
ENSG00000068976,5537
ENSG00000068985,653
ENSG00000069011,5335
ENSG00000069018,5073
ENSG00000069020,30294
ENSG00000069122,8184
ENSG00000069188,13736
ENSG00000069206,5859
ENSG00000069248,6943
ENSG00000069275,6618
ENSG00000069329,15342
ENSG00000069345,6647
ENSG00000069399,5931
ENSG00000069424,55371
ENSG00000069431,12466
ENSG00000069482,1387
ENSG00000069493,11927
ENSG00000069509,1911
ENSG00000069535,3301
ENSG00000069667,19906
ENSG00000069696,1641
ENSG00000069702,14647
ENSG00000069764,958
ENSG00000069812,7639
ENSG00000069849,6663
ENSG00000069869,19264
ENSG00000069943,7543
ENSG00000069956,9263
ENSG00000069966,18792
ENSG00000069974,7622
ENSG00000069998,9621
ENSG00000070010,10647
ENSG00000070018,15755
ENSG00000070019,4642
ENSG00000070031,522
ENSG00000070047,7312
ENSG00000070061,6743
ENSG00000070081,12357
ENSG00000070087,14160
ENSG00000070159,14738
ENSG00000070182,20324
ENSG00000070190,8631
ENSG00000070193,7239
ENSG00000070214,28794
ENSG00000070269,12831
ENSG00000070366,19770
ENSG00000070367,23643
ENSG00000070371,13014
ENSG00000070388,3957
ENSG00000070404,6231
ENSG00000070413,11511
ENSG00000070423,6765
ENSG00000070444,11380
ENSG00000070476,11007
ENSG00000070495,8530
ENSG00000070501,6453
ENSG00000070526,6735
ENSG00000070540,6927
ENSG00000070601,5981
ENSG00000070610,9860
ENSG00000070614,12793
ENSG00000070669,10337
ENSG00000070718,12761
ENSG00000070729,9245
ENSG00000070731,4770
ENSG00000070748,8569
ENSG00000070756,11825
ENSG00000070759,5582
ENSG00000070761,5062
ENSG00000070770,7814
ENSG00000070778,10064
ENSG00000070785,4352
ENSG00000070808,19111
ENSG00000070814,20467
ENSG00000070831,21103
ENSG00000070882,11351
ENSG00000070886,5917
ENSG00000070915,8970
ENSG00000070950,9004
ENSG00000070961,20434
ENSG00000070985,4664
ENSG00000071051,5245
ENSG00000071054,19886
ENSG00000071073,13151
ENSG00000071082,7965
ENSG00000071127,12226
ENSG00000071189,21865
ENSG00000071203,2789
ENSG00000071205,12826
ENSG00000071242,15132
ENSG00000071243,7524
ENSG00000071246,9410
ENSG00000071282,11283
ENSG00000071462,12408
ENSG00000071537,10671
ENSG00000071539,4177
ENSG00000071553,8930
ENSG00000071564,23345
ENSG00000071575,5596
ENSG00000071626,13496
ENSG00000071655,13996
ENSG00000071677,262
ENSG00000071794,8818
ENSG00000071859,3673
ENSG00000071889,15853
