,exon_chrom_start
ENSG00000212448,95617689
ENSG00000241229,44007248
ENSG00000251942,53470447
ENSG00000252305,14177131
ENSG00000201301,49467115
ENSG00000222232,28683976
ENSG00000252682,154288460
ENSG00000285674,7886977
ENSG00000199601,75202703
ENSG00000276696,56634038
ENSG00000199473,17373201
ENSG00000252409,41687868
ENSG00000275696,186629936
ENSG00000207256,42991438
ENSG00000252341,10292041
ENSG00000202069,71652474
ENSG00000212340,64511755
ENSG00000251986,41868998
ENSG00000200168,111040098
ENSG00000223174,76890263
ENSG00000264036,12328132
ENSG00000207261,27111569
ENSG00000222592,39399149
ENSG00000273541,50104833
ENSG00000199591,47931808
ENSG00000206760,39408389
ENSG00000202276,8877417
ENSG00000252994,102803929
ENSG00000241588,99791209
ENSG00000199203,210265963
ENSG00000252620,195523087
ENSG00000206854,60789560
ENSG00000252542,133350847
ENSG00000207393,218589214
ENSG00000199735,76656320
ENSG00000202095,96431054
ENSG00000201746,10163268
ENSG00000252185,126755316
ENSG00000222704,39016047
ENSG00000278104,30035916
ENSG00000275930,75381638
ENSG00000238426,41316488
ENSG00000264767,38098414
ENSG00000200913,44776490
ENSG00000278100,14391875
ENSG00000206711,166312935
ENSG00000200247,19445949
ENSG00000251746,177138699
ENSG00000251739,183705931
ENSG00000222561,948421
ENSG00000241785,54255627
ENSG00000278525,20738433
ENSG00000200049,143309466
ENSG00000222740,126145474
ENSG00000241821,56688401
ENSG00000199335,3044101
ENSG00000200424,58744251
ENSG00000277467,30612724
ENSG00000222259,34049966
ENSG00000276890,72926955
ENSG00000212293,32420390
ENSG00000207442,25065026
ENSG00000278853,18869185
ENSG00000222129,94651397
ENSG00000272439,99444306
ENSG00000221345,71126893
ENSG00000207235,59260748
ENSG00000222924,138069355
ENSG00000222489,20323179
ENSG00000242985,8471831
ENSG00000273725,9279532
ENSG00000243260,39761000
ENSG00000200914,6600944
ENSG00000206913,74252414
ENSG00000207338,123457988
ENSG00000201778,157153548
ENSG00000243870,78370852
ENSG00000200786,79654109
ENSG00000199315,97657464
ENSG00000223175,48447936
ENSG00000263467,31076788
ENSG00000201727,178406695
ENSG00000199744,133350456
ENSG00000264415,30853833
ENSG00000264002,9902344
ENSG00000252333,229937814
ENSG00000252135,148385829
ENSG00000201610,11517397
ENSG00000201451,133337728
ENSG00000207110,127999131
ENSG00000199932,122211648
ENSG00000201168,101779814
ENSG00000222790,140397323
ENSG00000222238,101307529
ENSG00000239127,29333163
ENSG00000222795,100831728
ENSG00000239545,55215624
ENSG00000252828,68882967
ENSG00000253098,40911067
ENSG00000273612,50068107
ENSG00000274186,46648948
ENSG00000242113,151372003
ENSG00000281000,19112420
ENSG00000276956,110360452
ENSG00000202025,186311825
ENSG00000206951,32945339
ENSG00000206620,75787072
ENSG00000222987,102302504
ENSG00000242079,5142411
ENSG00000252172,149917342
ENSG00000278700,4658851
ENSG00000252783,87996345
ENSG00000253051,45336314
ENSG00000253055,35750061
ENSG00000281230,210232796
ENSG00000251711,25819363
ENSG00000266794,92971002
ENSG00000239030,94712409
ENSG00000252446,16691798
ENSG00000222303,50649641
ENSG00000201247,100969879
ENSG00000200652,28179098
ENSG00000200807,60384605
ENSG00000266634,17277889
ENSG00000199444,12088245
ENSG00000200208,23457584
ENSG00000212371,77466284
ENSG00000238326,56000518
ENSG00000241188,26814822
ENSG00000244671,21722895
ENSG00000252145,68102068
ENSG00000207750,100281241
ENSG00000200283,28972414
ENSG00000202252,123059335
ENSG00000231587,131490486
ENSG00000239080,136134317
ENSG00000207165,154400281
ENSG00000212157,223976146
ENSG00000284485,209432133
ENSG00000207382,62661621
ENSG00000252091,56667430
ENSG00000273566,21455236
ENSG00000200792,32377187
ENSG00000265509,31487449
ENSG00000202313,11503509
ENSG00000276653,25058032
ENSG00000207789,57824609
ENSG00000207312,11027200
ENSG00000278592,27187819
ENSG00000206964,55286018
ENSG00000209702,12706449
ENSG00000283159,100875033
ENSG00000239607,75041740
ENSG00000199012,101065447
ENSG00000201987,164854231
ENSG00000202336,68017710
ENSG00000206769,61391595
ENSG00000202159,57755394
ENSG00000200295,106607716
ENSG00000206959,53544615
ENSG00000238721,150209706
ENSG00000201489,7537096
ENSG00000263413,105858165
ENSG00000265319,33034655
ENSG00000200305,39922782
ENSG00000285912,152592973
ENSG00000276891,28387196
ENSG00000265093,45874035
ENSG00000201968,126564565
ENSG00000264484,154495815
ENSG00000207341,166042244
ENSG00000212238,129756266
ENSG00000266039,28426491
ENSG00000274350,72664577
ENSG00000200152,74968189
ENSG00000201231,58814412
ENSG00000212517,5121417
ENSG00000200139,199888159
ENSG00000252323,16336283
ENSG00000276522,61427617
ENSG00000284059,80581103
ENSG00000251722,48574453
ENSG00000223188,130120806
ENSG00000281459,17205128
ENSG00000208003,80841978
ENSG00000199677,132993099
ENSG00000241997,56022019
ENSG00000199474,12842487
ENSG00000275942,26672164
ENSG00000243976,100319073
ENSG00000251764,66895491
ENSG00000207614,31559996
ENSG00000275337,39349094
ENSG00000277374,148668
ENSG00000222207,35734639
ENSG00000275215,8395607
ENSG00000264010,11540605
ENSG00000200174,62211557
ENSG00000251937,12400412
ENSG00000199912,7800361
ENSG00000201569,100974806
ENSG00000200757,25199448
ENSG00000252512,32078508
ENSG00000265682,110069961
ENSG00000251900,65555432
ENSG00000199480,106636672
ENSG00000281391,17409469
ENSG00000278524,218341911
ENSG00000201711,77635203
ENSG00000222895,31083010
ENSG00000202099,238412642
ENSG00000201923,45559758
ENSG00000281540,17431815
ENSG00000252191,53749851
ENSG00000216141,63919505
ENSG00000201684,67362414
ENSG00000252864,140940562
ENSG00000281067,210266665
ENSG00000275330,54063744
ENSG00000200875,2649761
ENSG00000202304,130310072
ENSG00000238804,48956650
ENSG00000275904,67697076
ENSG00000216135,10394489
ENSG00000252252,54452423
ENSG00000200528,53914719
ENSG00000201129,154259727
ENSG00000207449,65553081
ENSG00000283745,27169480
ENSG00000200057,21389191
ENSG00000199733,26509589
ENSG00000264389,32485042
ENSG00000199962,17576798
ENSG00000207507,893484
ENSG00000265942,49042341
ENSG00000283956,116874728
ENSG00000251825,73191604
ENSG00000251877,28410270
ENSG00000206885,231455800
ENSG00000207351,184086791
ENSG00000221768,141786242
ENSG00000265983,32546409
ENSG00000251888,82192505
ENSG00000278287,63549133
ENSG00000273770,78544095
ENSG00000199072,94176347
ENSG00000262656,141733992
ENSG00000263971,32608365
ENSG00000244318,96940068
ENSG00000222685,47359505
ENSG00000223181,758233
ENSG00000199051,85903636
ENSG00000207014,25056860
ENSG00000271922,154329716
ENSG00000276881,93437400
ENSG00000212171,20401627
ENSG00000206635,151629324
ENSG00000277948,175092401
ENSG00000216171,147189704
ENSG00000199815,8931506
ENSG00000200114,12511095
ENSG00000274606,116959593
ENSG00000200983,8684227
ENSG00000251763,43412427
ENSG00000200750,21724119
ENSG00000273886,34910545
ENSG00000273501,27382801
ENSG00000276577,20323001
ENSG00000252257,181968459
ENSG00000275420,69478716
ENSG00000280864,72550428
ENSG00000252429,26602369
ENSG00000263871,32720817
ENSG00000199489,25215541
ENSG00000212332,86488446
ENSG00000244034,55063738
ENSG00000252810,101915589
ENSG00000244544,152264150
ENSG00000200469,88275205
ENSG00000206991,43637632
ENSG00000252448,37884237
ENSG00000238406,128543916
ENSG00000212479,29180425
ENSG00000206781,64445130
ENSG00000277139,69530371
ENSG00000207181,235127803
ENSG00000252398,32045873
ENSG00000202039,5180061
ENSG00000200102,21113639
ENSG00000200903,48949361
ENSG00000200350,154543933
ENSG00000242696,202357076
ENSG00000252558,98192205
ENSG00000273975,201097744
ENSG00000223064,85537379
ENSG00000222546,3700492
ENSG00000272028,51014134
ENSG00000252045,32538299
ENSG00000206672,67625356
ENSG00000199509,21138956
ENSG00000274171,46366710
ENSG00000221527,100739802
ENSG00000278498,103027336
ENSG00000201245,99783857
ENSG00000276516,77912271
ENSG00000251791,233288676
ENSG00000200475,13683542
ENSG00000201728,23380896
ENSG00000200106,109196201
ENSG00000202374,67747236
ENSG00000276839,182576772
ENSG00000200789,84003332
ENSG00000251805,24273614
ENSG00000202408,148334612
ENSG00000238788,127017421
ENSG00000199385,44390722
ENSG00000272020,126160283
ENSG00000277599,65423960
ENSG00000251960,15143289
ENSG00000200495,248912690
ENSG00000252645,89897576
ENSG00000276003,88723209
ENSG00000239888,15408384
ENSG00000276396,139155153
ENSG00000273979,40917111
ENSG00000212496,50256238
ENSG00000277004,35746772
ENSG00000207174,25081287
ENSG00000206596,34546714
ENSG00000274475,21429508
ENSG00000252396,237120807
ENSG00000202251,7266055
ENSG00000212418,76703632
ENSG00000251880,37327135
ENSG00000278757,516376
ENSG00000222617,96486582
ENSG00000202283,103583135
ENSG00000203436,9711953
ENSG00000252470,107435118
ENSG00000200898,61937894
ENSG00000213167,116320751
ENSG00000223238,111411644
ENSG00000212269,23641489
ENSG00000252671,10337277
ENSG00000275213,205684018
ENSG00000238754,193057281
ENSG00000212466,102313722
ENSG00000252050,38308112
ENSG00000199266,38449370
ENSG00000200418,186786323
ENSG00000199584,127619336
ENSG00000200890,81496214
ENSG00000252597,18095571
ENSG00000241791,46448224
ENSG00000207144,155419397
ENSG00000278747,198193139
ENSG00000212526,30956248
ENSG00000223335,32352877
ENSG00000252581,149525631
ENSG00000199985,36764445
ENSG00000200036,167005959
ENSG00000206926,15433110
ENSG00000273974,74280402
ENSG00000276685,46028804
ENSG00000206836,197447745
ENSG00000263608,30751038
ENSG00000206850,130906838
ENSG00000251864,36672838
ENSG00000201403,17075779
ENSG00000201157,18979619
ENSG00000277580,243081156
ENSG00000212532,51464690
ENSG00000252751,124407691
ENSG00000277583,116953214
ENSG00000277903,43271369
ENSG00000201217,152449272
ENSG00000207445,75404421
ENSG00000201297,125362819
ENSG00000277995,29079384
ENSG00000278026,181715185
ENSG00000222268,47505432
ENSG00000278020,27188816
ENSG00000201618,53909054
ENSG00000207333,75709495
ENSG00000212542,31305404
ENSG00000238311,65696833
ENSG00000252117,44927600
ENSG00000201766,14663395
ENSG00000273624,21428930
ENSG00000278151,88710147
ENSG00000238908,40854119
ENSG00000200917,105406997
ENSG00000201394,133710076
ENSG00000229686,2656624
ENSG00000200220,154039916
ENSG00000265033,49152651
ENSG00000273537,144520456
ENSG00000238854,141447475
ENSG00000275823,63549294
ENSG00000266150,59733227
ENSG00000274127,146208665
ENSG00000243370,17178414
ENSG00000251869,24744441
ENSG00000252275,188716665
ENSG00000264720,66628440
ENSG00000264251,44718861
ENSG00000239039,33513475
ENSG00000201315,36685040
ENSG00000215930,117094643
ENSG00000275776,32394365
ENSG00000201780,8484746
ENSG00000276871,11249809
ENSG00000212266,117688621
ENSG00000212605,71020275
ENSG00000199577,20268965
ENSG00000265831,241132272
ENSG00000207100,133152754
ENSG00000212306,100638363
ENSG00000240639,43222206
ENSG00000221375,139885481
ENSG00000239152,45856307
ENSG00000264800,48985512
ENSG00000199515,41065554
ENSG00000212360,61852499
ENSG00000200367,100943451
ENSG00000200553,119947131
ENSG00000202513,72391964
ENSG00000284293,68032864
ENSG00000252061,78898840
ENSG00000212257,65022968
ENSG00000252888,76835377
ENSG00000252745,142591677
ENSG00000264295,104591633
ENSG00000252347,23259460
ENSG00000221044,44025020
ENSG00000207233,54222284
ENSG00000265141,8979576
ENSG00000252655,89650793
ENSG00000216179,101064495
ENSG00000274742,101912998
ENSG00000238998,112977353
ENSG00000251994,9518119
ENSG00000201992,25234247
ENSG00000243373,158437797
ENSG00000252042,75145670
ENSG00000207702,31065032
ENSG00000263969,37215605
ENSG00000264317,34421988
ENSG00000244236,69516751
ENSG00000265753,151300665
ENSG00000264397,2135977
ENSG00000243267,10616836
ENSG00000242863,97353497
ENSG00000200834,33830978
ENSG00000276609,27200465
ENSG00000266232,2531922
ENSG00000283369,247607126
ENSG00000252680,9844717
ENSG00000275780,45327366
ENSG00000284368,64501214
ENSG00000277689,63549374
ENSG00000265920,32310327
ENSG00000238423,28720550
ENSG00000277379,8388362
ENSG00000274467,20290174
ENSG00000244356,33288304
ENSG00000201410,86125216
ENSG00000267828,75297990
ENSG00000264757,17764180
ENSG00000253015,139333038
ENSG00000222078,90001222
ENSG00000283871,21653304
ENSG00000243059,21102843
ENSG00000276103,150608507
ENSG00000212454,73750972
ENSG00000212246,208019638
ENSG00000283829,41923222
ENSG00000275655,97100587
ENSG00000199711,99936610
ENSG00000199285,38987281
ENSG00000265160,172662165
ENSG00000202402,31244761
ENSG00000206958,88382772
ENSG00000222427,22688351
ENSG00000208308,135136628
ENSG00000284370,30890883
ENSG00000276493,32087523
ENSG00000240106,16539688
ENSG00000277418,48316669
ENSG00000202406,112288623
ENSG00000284064,33290245
ENSG00000202190,60081741
ENSG00000199756,28881726
ENSG00000272230,114653345
ENSG00000252321,85820435
ENSG00000275472,30026277
ENSG00000200101,59647621
ENSG00000265660,143733083
ENSG00000274710,93637179
ENSG00000252346,227763052
ENSG00000274581,91718574
ENSG00000199787,30419625
ENSG00000283751,151959628
ENSG00000273846,21379382
ENSG00000200360,111490317
ENSG00000200718,132523617
ENSG00000212499,12924679
ENSG00000200243,6848127
ENSG00000202008,201423513
ENSG00000207258,38744020
ENSG00000206791,148014417
ENSG00000238529,42863200
ENSG00000201331,25211796
ENSG00000244399,85442495
ENSG00000276470,11843812
ENSG00000252881,104780288
ENSG00000265745,60034465
ENSG00000252930,112919132
ENSG00000275933,120670127
ENSG00000251898,6581474
ENSG00000202239,46525618
ENSG00000240199,75698531
ENSG00000275698,30506091
ENSG00000278752,98076361
ENSG00000265838,32539820
ENSG00000252937,73241789
ENSG00000207089,68735922
ENSG00000238730,40535502
ENSG00000243173,162777730
ENSG00000212165,16982831
ENSG00000252574,109184934
ENSG00000206924,75020761
ENSG00000207037,84938416
ENSG00000201900,114727720
ENSG00000277908,189709539
ENSG00000242066,77916718
ENSG00000207448,70701755
ENSG00000251707,120503037
ENSG00000206865,56753226
ENSG00000221507,144451681
ENSG00000207148,121329069
ENSG00000201683,20500175
ENSG00000251882,114866873
ENSG00000222102,151704289
ENSG00000264379,21524307
ENSG00000212527,163509484
ENSG00000201869,64573569
ENSG00000277118,186076306
ENSG00000201435,96303375
ENSG00000276544,47692399
ENSG00000212397,112602354
ENSG00000200763,20175805
ENSG00000199395,56235217
ENSG00000252827,96427200
ENSG00000262132,50319002
ENSG00000201570,39970125
ENSG00000280502,118994334
ENSG00000266828,115992466
ENSG00000252673,35754555
ENSG00000252126,66344303
ENSG00000202310,100158868
ENSG00000201160,25697076
ENSG00000265078,48094801
ENSG00000273764,30048444
ENSG00000222614,46736312
ENSG00000199301,71666091
ENSG00000212452,52692736
ENSG00000239579,137595265
ENSG00000265684,82078427
ENSG00000202377,115581315
ENSG00000265248,32619811
ENSG00000278189,8439823
ENSG00000200332,41648089
ENSG00000252704,121736443
ENSG00000212153,141727984
ENSG00000222613,140779039
ENSG00000271924,161409554
ENSG00000265921,31075504
ENSG00000206698,97175950
ENSG00000238934,161141208
ENSG00000222872,42221840
ENSG00000276439,30711324
ENSG00000200688,112069104
ENSG00000212512,202070841
ENSG00000263876,29744335
ENSG00000207027,23806229
ENSG00000201847,107320895
ENSG00000252647,35751574
ENSG00000252800,63479272
ENSG00000239149,12507246
ENSG00000274686,77966173
ENSG00000201356,28982852
ENSG00000201198,57415296
ENSG00000243959,176547433
ENSG00000265495,30122730
ENSG00000239102,8797135
ENSG00000207196,70705167
ENSG00000201271,72740706
ENSG00000199530,82944738
ENSG00000253070,35231331
ENSG00000201075,14275508
ENSG00000212473,70077906
ENSG00000276988,128483907
ENSG00000207195,40826655
ENSG00000252385,46410454
ENSG00000265255,30854930
ENSG00000251915,35734393
ENSG00000243066,14588357
ENSG00000243313,37832922
ENSG00000201818,169005249
ENSG00000277234,16873708
ENSG00000212378,72760534
ENSG00000238912,27547757
ENSG00000283551,68755172
ENSG00000201868,35195969
ENSG00000238711,151439000
ENSG00000199488,170994870
ENSG00000244610,67457023
ENSG00000201620,85883680
ENSG00000239169,25278343
ENSG00000223026,81251789
ENSG00000252580,26796173
ENSG00000202056,228555793
ENSG00000280646,146586099
ENSG00000222721,167662986
ENSG00000272015,38894785
ENSG00000285609,182944365
ENSG00000252068,157579497
ENSG00000273866,37578669
ENSG00000276314,24981994
ENSG00000273499,108778144
ENSG00000240014,147808926
ENSG00000240250,134517810
ENSG00000276642,220825776
ENSG00000199453,25191416
ENSG00000207004,51724103
ENSG00000278233,8212572
ENSG00000201384,77201026
ENSG00000252292,85650012
ENSG00000252943,19073843
ENSG00000238723,46215070
ENSG00000252902,71845196
ENSG00000275231,97493897
ENSG00000252073,244954858
ENSG00000222112,33336566
ENSG00000276100,116956431
ENSG00000288590,79090905
ENSG00000288599,77292191
ENSG00000288594,118157849
ENSG00000207969,147230984
ENSG00000222616,22861552
ENSG00000201674,113944186
ENSG00000212434,69692956
ENSG00000201785,31536374
ENSG00000238645,53334562
ENSG00000241542,67705954
ENSG00000206688,25085385
ENSG00000222604,74711936
ENSG00000200480,100989130
ENSG00000283146,93594841
ENSG00000274396,27099856
ENSG00000200816,31623079
ENSG00000212211,60856389
ENSG00000206612,48656648
ENSG00000283272,91356877
ENSG00000252336,178429197
ENSG00000252693,124197743
ENSG00000284087,124508515
ENSG00000265439,44209766
ENSG00000264353,31645466
ENSG00000206605,26790540
ENSG00000206693,154774998
ENSG00000283505,74548550
ENSG00000241652,173141643
ENSG00000207204,98794718
ENSG00000199575,100949833
ENSG00000238777,59852667
ENSG00000207641,147272335
ENSG00000264847,31011157
ENSG00000252622,131126990
ENSG00000266295,31526642
ENSG00000273544,28580381
ENSG00000212289,27521605
ENSG00000206785,65760052
ENSG00000263372,41271048
ENSG00000274760,49279116
ENSG00000265810,151433489
ENSG00000212237,228647912
ENSG00000276256,48955
ENSG00000261867,101205448
ENSG00000199094,71376960
ENSG00000206998,43451159
ENSG00000222783,130811768
ENSG00000199158,129774692
ENSG00000243770,174240143
ENSG00000251804,142407657
ENSG00000265059,32549943
ENSG00000201071,64111458
ENSG00000280704,70846080
ENSG00000208036,100093993
ENSG00000223271,66348276
ENSG00000199217,119656311
ENSG00000276770,43434542
ENSG00000207689,135239160
ENSG00000201675,49489965
ENSG00000264474,4788565
ENSG00000212259,95521369
ENSG00000201827,133551186
ENSG00000274230,97493178
ENSG00000222937,138558970
ENSG00000264342,90016621
ENSG00000276746,33562880
ENSG00000278515,36405198
ENSG00000263529,32457835
ENSG00000284464,20086058
ENSG00000206713,75089862
ENSG00000264056,53276993
ENSG00000207508,40177843
ENSG00000238431,57227001
ENSG00000207627,53951504
ENSG00000238523,50590652
ENSG00000242769,114697627
ENSG00000252802,26593940
ENSG00000278433,43609887
ENSG00000251706,30483135
ENSG00000221430,154347106
ENSG00000252777,28689665
ENSG00000283971,25664873
ENSG00000242889,57618108
ENSG00000199809,118829681
ENSG00000202241,30864250
ENSG00000275982,19649494
ENSG00000277464,32602121
ENSG00000252162,55398514
ENSG00000283469,206783234
ENSG00000271898,19314848
ENSG00000223118,123869256
ENSG00000207638,16539089
ENSG00000252128,21139886
ENSG00000199368,11392411
ENSG00000212228,11274113
ENSG00000252437,55146546
ENSG00000207634,53748636
ENSG00000222488,73018945
ENSG00000207802,60308474
ENSG00000251956,131602790
ENSG00000207193,16232231
ENSG00000222246,231892242
ENSG00000207263,25082768
ENSG00000206822,63621760
ENSG00000206845,164935162
ENSG00000276640,30136615
ENSG00000207788,53686469
ENSG00000283880,176188843
ENSG00000249784,1974636
ENSG00000283394,6650373
ENSG00000240186,31059989
ENSG00000274097,102057854
ENSG00000240347,80318253
ENSG00000243549,62650308
ENSG00000206907,111839828
ENSG00000281311,64146337
ENSG00000200211,95336106
ENSG00000264060,77396984
ENSG00000275107,44207771
ENSG00000274111,17813480
ENSG00000222973,2162763
ENSG00000244501,170866835
ENSG00000241552,18547312
ENSG00000212304,49280683
ENSG00000202195,52297995
ENSG00000199645,74779309
ENSG00000207996,59151136
ENSG00000202111,140718925
ENSG00000274172,105621116
ENSG00000202351,13547704
ENSG00000252260,77863464
ENSG00000207948,67202321
ENSG00000206908,53219261
ENSG00000201085,188121531
ENSG00000212302,22756761
ENSG00000267195,2050271
ENSG00000284152,57512688
ENSG00000265005,26025237
ENSG00000275574,46833127
ENSG00000251913,42569147
ENSG00000199381,72881108
ENSG00000252913,48932755
ENSG00000206806,40351564
ENSG00000238680,66946116
ENSG00000273778,105150778
ENSG00000221060,69804203
ENSG00000241461,49083233
ENSG00000283340,170151378
ENSG00000207993,101054687
ENSG00000243125,223248498
ENSG00000238813,166123494
ENSG00000201510,76736641
ENSG00000201988,30736304
ENSG00000221788,79419257
ENSG00000253031,103689473
ENSG00000266458,159899979
ENSG00000252369,83048579
ENSG00000275399,54972989
ENSG00000207495,69802940
ENSG00000277967,49280485
ENSG00000278520,42323700
ENSG00000263987,154104521
ENSG00000278794,1101007
ENSG00000274978,28648600
ENSG00000223168,51671236
ENSG00000206820,113420323
ENSG00000266041,65636310
ENSG00000207000,68935873
ENSG00000201990,6004283
ENSG00000206640,185257911
ENSG00000252854,46249942
ENSG00000274940,153689705
ENSG00000200884,96962656
ENSG00000265372,20551970
ENSG00000252952,23217432
ENSG00000278465,206474803
ENSG00000252408,3521248
ENSG00000238610,27897504
ENSG00000251990,17156971
ENSG00000222715,114763184
ENSG00000281394,155925958
ENSG00000207371,41917416
ENSG00000222092,29711915
ENSG00000207220,113949917
ENSG00000251971,238028971
ENSG00000253026,53153795
ENSG00000212595,151026295
ENSG00000284568,53787677
ENSG00000277001,91314716
ENSG00000265719,119377972
ENSG00000221028,201808611
ENSG00000252524,157064557
ENSG00000252005,73883714
ENSG00000199469,72576691
ENSG00000266738,19348429
ENSG00000200120,49137762
ENSG00000276102,62567011
ENSG00000265370,119958513
ENSG00000207116,200830009
ENSG00000206935,23162704
ENSG00000201318,100991919
ENSG00000238498,42076058
ENSG00000207923,47377675
ENSG00000207805,2134134
ENSG00000212380,25264510
ENSG00000206911,93827622
ENSG00000266570,79422169
ENSG00000200213,36066545
ENSG00000207275,82340771
ENSG00000277864,82755945
ENSG00000200406,100983876
ENSG00000283637,212926257
ENSG00000207713,6963699
ENSG00000264906,47364186
ENSG00000200686,78355227
ENSG00000239005,139436368
ENSG00000285776,69672479
ENSG00000252519,23849778
ENSG00000266887,48780295
ENSG00000266655,123536409
ENSG00000263616,8582352
ENSG00000278048,43251829
ENSG00000207719,99356131
ENSG00000283785,50049119
ENSG00000274284,38231043
ENSG00000222610,98889731
ENSG00000199075,37969404
ENSG00000283346,15134075
ENSG00000242928,149722070
ENSG00000206889,117544205
ENSG00000280554,66502019
ENSG00000284269,64785626
ENSG00000201308,135656477
ENSG00000252204,31811088
ENSG00000284078,86620497
ENSG00000266307,85306226
ENSG00000266439,10221775
ENSG00000207300,137784374
ENSG00000207761,101026785
ENSG00000200685,13686550
ENSG00000221287,133427596
ENSG00000201201,67321658
ENSG00000200471,54621025
ENSG00000252080,6748908
ENSG00000207959,101066724
ENSG00000207019,31345362
ENSG00000283795,192716328
ENSG00000202199,133238657
ENSG00000200488,76445079
ENSG00000284517,33287227
ENSG00000281159,130929762
ENSG00000252762,81928313
ENSG00000265957,44970082
ENSG00000275373,12163683
ENSG00000251875,179576268
ENSG00000207943,66787072
ENSG00000277138,135206994
ENSG00000200419,45591984
ENSG00000238862,52690744
ENSG00000199143,53788705
ENSG00000266192,96341438
ENSG00000200225,20414987
ENSG00000201097,92265702
ENSG00000266189,81451104
ENSG00000252438,12415928
ENSG00000212191,178685886
ENSG00000221442,147378017
ENSG00000263885,101519820
ENSG00000275519,55230885
ENSG00000275840,21396273
ENSG00000207797,35904818
ENSG00000239128,47250523
ENSG00000251970,18833729
ENSG00000252302,176763233
ENSG00000283327,24953796
ENSG00000199570,14352320
ENSG00000265321,27996367
ENSG00000252485,206007880
ENSG00000265861,97939056
ENSG00000207970,50013241
ENSG00000283801,71973
ENSG00000200397,87218611
ENSG00000275523,39447010
ENSG00000212282,12312588
ENSG00000200799,108392073
ENSG00000201242,27402476
ENSG00000276319,44196129
ENSG00000239105,37573151
ENSG00000212175,55565703
ENSG00000264934,109141490
ENSG00000283958,186786672
ENSG00000222934,86362132
ENSG00000199812,146571477
ENSG00000283856,24143489
ENSG00000274934,136134082
ENSG00000252835,7906122
ENSG00000284140,20085746
ENSG00000239333,16539137
ENSG00000201492,229549905
ENSG00000207716,11368827
ENSG00000277786,54876500
ENSG00000266449,76586647
ENSG00000201554,101458530
ENSG00000200536,110272484
ENSG00000212624,51724775
ENSG00000265213,98997387
ENSG00000283275,28819582
ENSG00000221400,43417249
ENSG00000274805,2463967
ENSG00000201659,47132671
ENSG00000221114,49684544
ENSG00000283636,63168600
ENSG00000253024,67395210
ENSG00000263361,154829458
ENSG00000253053,53816185
ENSG00000266698,184851013
ENSG00000257381,16300159
ENSG00000212316,75198071
ENSG00000265903,30854117
ENSG00000202476,30453997
ENSG00000243027,50688900
ENSG00000276824,33899135
ENSG00000252815,55031965
ENSG00000264732,181222566
ENSG00000212571,32050588
ENSG00000242398,62005737
ENSG00000265669,132115192
ENSG00000207808,13836440
ENSG00000251916,32549940
ENSG00000200521,157768013
ENSG00000222800,27109790
