,exon_chrom_end
ENSG00000280496,136726239
ENSG00000241964,63234911
ENSG00000251730,183454262
ENSG00000252312,36231774
ENSG00000278003,28665948
ENSG00000222337,99284373
ENSG00000206665,35496003
ENSG00000283519,75270780
ENSG00000276183,18418632
ENSG00000212448,95617786
ENSG00000241229,44007537
ENSG00000251942,53470629
ENSG00000252305,14177310
ENSG00000201301,49467228
ENSG00000222232,28684083
ENSG00000252682,154288527
ENSG00000285674,7887096
ENSG00000199601,75202809
ENSG00000276696,56634167
ENSG00000199473,17373326
ENSG00000252409,41688033
ENSG00000275696,186630211
ENSG00000207256,42991544
ENSG00000252341,10292148
ENSG00000202069,71652611
ENSG00000212340,64511857
ENSG00000251986,41869095
ENSG00000200168,111040208
ENSG00000223174,76890613
ENSG00000264036,12328389
ENSG00000207261,27111674
ENSG00000222592,39399248
ENSG00000273541,50105174
ENSG00000199591,47931914
ENSG00000206760,39408539
ENSG00000202276,8877518
ENSG00000252994,102804031
ENSG00000241588,99791410
ENSG00000199203,210266074
ENSG00000252620,195523221
ENSG00000206854,60789661
ENSG00000252542,133350912
ENSG00000207393,218589320
ENSG00000199735,76656422
ENSG00000202095,96431160
ENSG00000201746,10163374
ENSG00000252185,126755417
ENSG00000222704,39016344
ENSG00000278104,30035983
ENSG00000275930,75381739
ENSG00000238426,41316589
ENSG00000264767,38098700
ENSG00000200913,44776593
ENSG00000278100,14392196
ENSG00000206711,166313034
ENSG00000200247,19446055
ENSG00000251746,177138797
ENSG00000251739,183706031
ENSG00000222561,948524
ENSG00000241785,54255910
ENSG00000278525,20738731
ENSG00000200049,143309566
ENSG00000222740,126145582
ENSG00000241821,56688695
ENSG00000199335,3044207
ENSG00000200424,58744357
ENSG00000277467,30612960
ENSG00000222259,34050244
ENSG00000276890,72927237
ENSG00000212293,32420516
ENSG00000207442,25065121
ENSG00000278853,18869291
ENSG00000222129,94651529
ENSG00000272439,99444412
ENSG00000221345,71127105
ENSG00000207235,59260846
ENSG00000222924,138069458
ENSG00000222489,20323326
ENSG00000242985,8472128
ENSG00000273725,9279816
ENSG00000243260,39761298
ENSG00000200914,6601051
ENSG00000206913,74252552
ENSG00000207338,123458094
ENSG00000201778,157153640
ENSG00000243870,78371135
ENSG00000200786,79654227
ENSG00000199315,97657582
ENSG00000223175,48448042
ENSG00000263467,31076887
ENSG00000201727,178406830
ENSG00000199744,133350528
ENSG00000264415,30854135
ENSG00000264002,9902627
ENSG00000252333,229937882
ENSG00000252135,148385963
ENSG00000201610,11517503
ENSG00000201451,133337824
ENSG00000207110,127999294
ENSG00000199932,122211811
ENSG00000201168,101779929
ENSG00000222790,140397444
ENSG00000222238,101307718
ENSG00000239127,29333258
ENSG00000222795,100831860
ENSG00000239545,55215919
ENSG00000252828,68883091
ENSG00000253098,40911128
ENSG00000273612,50068164
ENSG00000274186,46649276
ENSG00000242113,151372287
ENSG00000281000,19112636
ENSG00000276956,110360746
ENSG00000202025,186311928
ENSG00000206951,32945451
ENSG00000206620,75787150
ENSG00000222987,102302810
ENSG00000242079,5142707
ENSG00000252172,149917449
ENSG00000278700,4659151
ENSG00000252783,87996448
ENSG00000253051,45336447
ENSG00000253055,35750175
ENSG00000281230,210233011
ENSG00000251711,25819426
ENSG00000266794,92971299
ENSG00000239030,94712511
ENSG00000252446,16691907
ENSG00000222303,50649740
ENSG00000201247,100969952
ENSG00000200652,28179223
ENSG00000200807,60384763
ENSG00000266634,17277975
ENSG00000199444,12088346
ENSG00000200208,23457685
ENSG00000212371,77466436
ENSG00000238326,56000621
ENSG00000241188,26815112
ENSG00000244671,21723182
ENSG00000252145,68102132
ENSG00000207750,100281308
ENSG00000200283,28972521
ENSG00000202252,123059422
ENSG00000231587,131490571
ENSG00000239080,136134420
ENSG00000207165,154400415
ENSG00000212157,223976249
ENSG00000284485,209432242
ENSG00000207382,62661725
ENSG00000252091,56667531
ENSG00000273566,21455515
ENSG00000200792,32377322
ENSG00000265509,31487550
ENSG00000202313,11503671
ENSG00000276653,25058329
ENSG00000207789,57824692
ENSG00000207312,11027307
ENSG00000278592,27188021
ENSG00000206964,55286128
ENSG00000209702,12706518
ENSG00000283159,100875104
ENSG00000239607,75042015
ENSG00000199012,101065537
ENSG00000201987,164854332
ENSG00000202336,68017817
ENSG00000206769,61391703
ENSG00000202159,57755500
ENSG00000200295,106607819
ENSG00000206959,53544725
ENSG00000238721,150209768
ENSG00000201489,7537196
ENSG00000263413,105858242
ENSG00000265319,33034924
ENSG00000200305,39922886
ENSG00000285912,152593091
ENSG00000276891,28387485
ENSG00000265093,45874330
ENSG00000201968,126564678
ENSG00000264484,154496113
ENSG00000207341,166042350
ENSG00000212238,129756377
ENSG00000266039,28426584
ENSG00000274350,72664799
ENSG00000200152,74968292
ENSG00000201231,58814552
ENSG00000212517,5121539
ENSG00000200139,199888261
ENSG00000252323,16336389
ENSG00000276522,61427877
ENSG00000284059,80581239
ENSG00000251722,48574520
ENSG00000223188,130120912
ENSG00000281459,17205309
ENSG00000208003,80842073
ENSG00000199677,132993200
ENSG00000241997,56022313
ENSG00000199474,12842610
ENSG00000275942,26672248
ENSG00000243976,100319370
ENSG00000251764,66895572
ENSG00000207614,31560083
ENSG00000275337,39349392
ENSG00000277374,148843
ENSG00000222207,35734748
ENSG00000275215,8395759
ENSG00000264010,11540677
ENSG00000200174,62211666
ENSG00000251937,12400473
ENSG00000199912,7800467
ENSG00000201569,100974880
ENSG00000200757,25199529
ENSG00000252512,32078628
ENSG00000265682,110070042
ENSG00000251900,65555534
ENSG00000199480,106636786
ENSG00000281391,17409713
ENSG00000278524,218341980
ENSG00000201711,77635309
ENSG00000222895,31083109
ENSG00000202099,238412745
ENSG00000201923,45559876
ENSG00000281540,17431908
ENSG00000252191,53749951
ENSG00000216141,63919576
ENSG00000201684,67362708
ENSG00000252864,140940663
ENSG00000281067,210267241
ENSG00000275330,54063953
ENSG00000200875,2649867
ENSG00000202304,130310178
ENSG00000238804,48956753
ENSG00000275904,67697187
ENSG00000216135,10394562
ENSG00000252252,54452511
ENSG00000200528,53914824
ENSG00000201129,154259862
ENSG00000207449,65553187
ENSG00000283745,27169563
ENSG00000200057,21389491
ENSG00000199733,26509704
ENSG00000264389,32485188
ENSG00000199962,17576906
ENSG00000207507,893590
ENSG00000265942,49042643
ENSG00000283956,116874800
ENSG00000251825,73191855
ENSG00000251877,28410456
ENSG00000206885,231455936
ENSG00000207351,184086903
ENSG00000221768,141786313
ENSG00000265983,32546557
ENSG00000251888,82192790
ENSG00000278287,63549216
ENSG00000273770,78544188
ENSG00000199072,94176433
ENSG00000262656,141734156
ENSG00000263971,32608516
ENSG00000244318,96940364
ENSG00000222685,47359777
ENSG00000223181,758336
ENSG00000199051,85903707
ENSG00000207014,25056954
ENSG00000271922,154329819
ENSG00000276881,93437510
ENSG00000212171,20401724
ENSG00000206635,151629430
ENSG00000277948,175092587
ENSG00000216171,147189787
ENSG00000199815,8931631
ENSG00000200114,12511213
ENSG00000274606,116959805
ENSG00000200983,8684356
ENSG00000251763,43412530
ENSG00000200750,21724229
ENSG00000273886,34910815
ENSG00000273501,27382907
ENSG00000276577,20323110
ENSG00000252257,181968681
ENSG00000275420,69478984
ENSG00000280864,72550889
ENSG00000252429,26602432
ENSG00000263871,32720965
ENSG00000199489,25215622
ENSG00000212332,86488549
ENSG00000244034,55064026
ENSG00000252810,101915695
ENSG00000244544,152264445
ENSG00000200469,88275308
ENSG00000206991,43637738
ENSG00000252448,37884317
ENSG00000238406,128543977
ENSG00000212479,29180639
ENSG00000206781,64445243
ENSG00000277139,69530475
ENSG00000207181,235127937
ENSG00000252398,32045979
ENSG00000202039,5180162
ENSG00000200102,21113745
ENSG00000200903,48949520
ENSG00000200350,154544037
ENSG00000242696,202357417
ENSG00000252558,98192313
ENSG00000273975,201098091
ENSG00000223064,85537483
ENSG00000222546,3700628
ENSG00000272028,51014241
ENSG00000252045,32538434
ENSG00000206672,67625464
ENSG00000199509,21139074
ENSG00000274171,46366990
ENSG00000221527,100739927
ENSG00000278498,103027498
ENSG00000201245,99783983
ENSG00000276516,77912545
ENSG00000251791,233288940
ENSG00000200475,13683886
ENSG00000201728,23381012
ENSG00000200106,109196309
ENSG00000202374,67747386
ENSG00000276839,182577040
ENSG00000200789,84003479
ENSG00000251805,24273741
ENSG00000202408,148334767
ENSG00000238788,127017482
ENSG00000199385,44390823
ENSG00000272020,126160445
ENSG00000277599,65424118
ENSG00000251960,15143386
ENSG00000200495,248912795
ENSG00000252645,89897637
ENSG00000276003,88723316
ENSG00000239888,15408688
ENSG00000276396,139155444
ENSG00000273979,40917381
ENSG00000212496,50256344
ENSG00000277004,35746894
ENSG00000207174,25081378
ENSG00000206596,34546877
ENSG00000274475,21429806
ENSG00000252396,237121109
ENSG00000202251,7266166
ENSG00000212418,76703727
ENSG00000251880,37327196
ENSG00000278757,516479
ENSG00000222617,96486891
ENSG00000202283,103583268
ENSG00000203436,9712233
ENSG00000252470,107435220
ENSG00000200898,61938000
ENSG00000213167,116321031
ENSG00000223238,111411742
ENSG00000212269,23641592
ENSG00000252671,10337386
ENSG00000275213,205684307
ENSG00000238754,193057415
ENSG00000212466,102313829
ENSG00000252050,38308241
ENSG00000199266,38449503
ENSG00000200418,186786445
ENSG00000199584,127619447
ENSG00000200890,81496327
ENSG00000252597,18095632
ENSG00000241791,46448511
ENSG00000207144,155419500
ENSG00000278747,198193242
ENSG00000212526,30956350
ENSG00000223335,32352983
ENSG00000252581,149525726
ENSG00000199985,36764551
ENSG00000200036,167006077
ENSG00000206926,15433216
ENSG00000273974,74280495
ENSG00000276685,46028892
ENSG00000206836,197447851
ENSG00000263608,30751289
ENSG00000206850,130906949
ENSG00000251864,36672944
ENSG00000201403,17075868
ENSG00000201157,18979772
ENSG00000277580,243081259
ENSG00000212532,51464765
ENSG00000252751,124407783
ENSG00000277583,116953324
ENSG00000277903,43271559
ENSG00000201217,152449384
ENSG00000207445,75404566
ENSG00000201297,125362929
ENSG00000277995,29079498
ENSG00000278026,181715293
ENSG00000222268,47505543
ENSG00000278020,27188994
ENSG00000201618,53909161
ENSG00000207333,75709599
ENSG00000212542,31305512
ENSG00000238311,65696936
ENSG00000252117,44927703
ENSG00000201766,14663494
ENSG00000273624,21429036
ENSG00000278151,88710265
ENSG00000238908,40854229
ENSG00000200917,105407092
ENSG00000201394,133710167
ENSG00000229686,2656694
ENSG00000200220,154040022
ENSG00000265033,49152944
ENSG00000273537,144520555
ENSG00000238854,141447549
ENSG00000275823,63549366
ENSG00000266150,59733296
ENSG00000274127,146208819
ENSG00000243370,17178749
ENSG00000251869,24744570
ENSG00000252275,188716725
ENSG00000264720,66628517
ENSG00000264251,44719130
ENSG00000239039,33513578
ENSG00000201315,36685369
ENSG00000215930,117094728
ENSG00000275776,32394613
ENSG00000201780,8484852
ENSG00000276871,11249959
ENSG00000212266,117688742
ENSG00000212605,71020438
ENSG00000199577,20269070
ENSG00000265831,241132346
ENSG00000207100,133152892
ENSG00000212306,100638457
ENSG00000240639,43222509
ENSG00000221375,139885603
ENSG00000239152,45856422
ENSG00000264800,48985587
ENSG00000199515,41065646
ENSG00000212360,61852602
ENSG00000200367,100943524
ENSG00000200553,119947232
ENSG00000202513,72392069
ENSG00000284293,68032922
ENSG00000252061,78898936
ENSG00000212257,65023074
ENSG00000252888,76835502
ENSG00000252745,142591791
ENSG00000264295,104591716
ENSG00000252347,23259566
ENSG00000221044,44025223
ENSG00000207233,54222412
ENSG00000265141,8979874
ENSG00000252655,89650903
ENSG00000216179,101064578
ENSG00000274742,101913279
ENSG00000238998,112977420
ENSG00000251994,9518260
ENSG00000201992,25234328
ENSG00000243373,158438088
ENSG00000252042,75145762
ENSG00000207702,31065141
ENSG00000263969,37215903
ENSG00000264317,34422311
ENSG00000244236,69517046
ENSG00000265753,151300964
ENSG00000264397,2136129
ENSG00000243267,10617115
ENSG00000242863,97353815
ENSG00000200834,33831078
ENSG00000276609,27200521
ENSG00000266232,2532005
ENSG00000283369,247607201
ENSG00000252680,9844846
ENSG00000275780,45327497
ENSG00000284368,64501313
ENSG00000277689,63549463
ENSG00000265920,32310433
ENSG00000238423,28720616
ENSG00000277379,8388453
ENSG00000274467,20290289
ENSG00000244356,33288601
ENSG00000201410,86125287
ENSG00000267828,75298091
ENSG00000264757,17764259
ENSG00000253015,139333365
ENSG00000222078,90001506
ENSG00000283871,21653385
ENSG00000243059,21103138
ENSG00000276103,150608623
ENSG00000212454,73751077
ENSG00000212246,208019741
ENSG00000283829,41923297
ENSG00000275655,97100874
ENSG00000199711,99936711
ENSG00000199285,38987383
ENSG00000265160,172662263
ENSG00000202402,31244861
ENSG00000206958,88382907
ENSG00000222427,22688435
ENSG00000208308,135136755
ENSG00000284370,30890972
ENSG00000276493,32087813
ENSG00000240106,16539984
ENSG00000277418,48316770
ENSG00000202406,112288952
ENSG00000284064,33290325
ENSG00000202190,60081854
ENSG00000199756,28881835
ENSG00000272230,114653455
ENSG00000252321,85820612
ENSG00000275472,30026344
ENSG00000200101,59647723
ENSG00000265660,143733153
ENSG00000274710,93637338
ENSG00000252346,227763152
ENSG00000274581,91718789
ENSG00000199787,30419759
ENSG00000283751,151959712
ENSG00000273846,21379701
ENSG00000200360,111490423
ENSG00000200718,132523936
ENSG00000212499,12924785
ENSG00000200243,6848462
ENSG00000202008,201423604
ENSG00000207258,38744131
ENSG00000206791,148014583
ENSG00000238529,42863306
ENSG00000201331,25211877
ENSG00000244399,85442791
ENSG00000276470,11843984
ENSG00000252881,104780389
ENSG00000265745,60034762
ENSG00000252930,112919230
ENSG00000275933,120670376
ENSG00000251898,6581609
ENSG00000202239,46525722
ENSG00000240199,75698816
ENSG00000275698,30506195
ENSG00000278752,98076421
ENSG00000265838,32539971
ENSG00000252937,73241896
ENSG00000207089,68736028
ENSG00000238730,40535563
ENSG00000243173,162778014
ENSG00000212165,16983033
ENSG00000252574,109185001
ENSG00000206924,75020867
ENSG00000207037,84938522
ENSG00000201900,114727824
ENSG00000277908,189709714
ENSG00000242066,77916982
ENSG00000207448,70701858
ENSG00000251707,120503096
ENSG00000206865,56753326
ENSG00000221507,144451817
ENSG00000207148,121329170
ENSG00000201683,20500276
ENSG00000251882,114866976
ENSG00000222102,151704578
ENSG00000264379,21524382
ENSG00000212527,163509595
ENSG00000201869,64573670
ENSG00000277118,186076591
ENSG00000201435,96303513
ENSG00000276544,47692727
ENSG00000212397,112602452
ENSG00000200763,20175909
ENSG00000199395,56235330
ENSG00000252827,96427486
ENSG00000262132,50319120
ENSG00000201570,39970266
ENSG00000280502,118994630
ENSG00000266828,115992773
ENSG00000252673,35754688
ENSG00000252126,66344414
ENSG00000202310,100158975
ENSG00000201160,25697188
ENSG00000265078,48095105
ENSG00000273764,30048519
ENSG00000222614,46736419
ENSG00000199301,71666197
ENSG00000212452,52692812
ENSG00000239579,137595547
ENSG00000265684,82078724
ENSG00000202377,115581442
ENSG00000265248,32619974
ENSG00000278189,8439975
ENSG00000200332,41648190
ENSG00000252704,121736725
ENSG00000212153,141728148
ENSG00000222613,140779141
ENSG00000271924,161409670
ENSG00000265921,31075603
ENSG00000206698,97176113
ENSG00000238934,161141336
ENSG00000222872,42221965
ENSG00000276439,30711614
ENSG00000200688,112069209
ENSG00000212512,202070943
ENSG00000263876,29744436
ENSG00000207027,23806377
ENSG00000201847,107320963
ENSG00000252647,35751684
ENSG00000252800,63479413
ENSG00000239149,12507397
ENSG00000274686,77966440
ENSG00000201356,28982970
ENSG00000201198,57415403
ENSG00000243959,176547726
ENSG00000265495,30122889
ENSG00000239102,8797194
ENSG00000207196,70705269
ENSG00000201271,72740869
ENSG00000199530,82944845
ENSG00000253070,35231394
ENSG00000201075,14275600
ENSG00000212473,70078032
ENSG00000276988,128484158
ENSG00000207195,40826765
ENSG00000252385,46410557
ENSG00000265255,30855232
ENSG00000251915,35734504
ENSG00000243066,14588656
ENSG00000243313,37833185
ENSG00000201818,169005344
ENSG00000277234,16873851
ENSG00000212378,72760602
ENSG00000238912,27547858
ENSG00000283551,68755238
ENSG00000201868,35196062
ENSG00000238711,151439095
ENSG00000199488,170995033
ENSG00000244610,67457290
ENSG00000201620,85883798
ENSG00000239169,25278409
ENSG00000223026,81252096
ENSG00000252580,26796304
ENSG00000202056,228555901
ENSG00000280646,146586200
ENSG00000222721,167663302
ENSG00000272015,38894867
ENSG00000285609,182944490
ENSG00000252068,157579599
ENSG00000273866,37578922
ENSG00000276314,24982068
ENSG00000273499,108778271
ENSG00000240014,147809209
ENSG00000240250,134518092
ENSG00000276642,220825893
ENSG00000199453,25191497
ENSG00000207004,51724209
ENSG00000278233,8212724
ENSG00000201384,77201140
ENSG00000252292,85650260
ENSG00000252943,19073946
ENSG00000238723,46215171
ENSG00000252902,71845245
ENSG00000275231,97494003
ENSG00000252073,244954963
ENSG00000222112,33336864
ENSG00000276100,116956723
ENSG00000288590,79091276
ENSG00000288599,77292428
ENSG00000288594,118162518
ENSG00000207969,147231077
ENSG00000222616,22861884
ENSG00000201674,113944399
ENSG00000212434,69693155
ENSG00000201785,31536449
ENSG00000238645,53334664
ENSG00000241542,67706252
ENSG00000206688,25085476
ENSG00000222604,74712045
ENSG00000200480,100989201
ENSG00000283146,93594894
ENSG00000274396,27099957
ENSG00000200816,31623210
ENSG00000212211,60856605
ENSG00000206612,48656782
ENSG00000283272,91357036
ENSG00000252336,178429290
ENSG00000252693,124197849
ENSG00000284087,124508576
ENSG00000265439,44210063
ENSG00000264353,31645579
ENSG00000206605,26790646
ENSG00000206693,154775126
ENSG00000283505,74548609
ENSG00000241652,173141938
ENSG00000207204,98794824
ENSG00000199575,100949904
ENSG00000238777,59852728
ENSG00000207641,147272408
ENSG00000264847,31011248
ENSG00000252622,131127091
ENSG00000266295,31526717
ENSG00000273544,28580512
ENSG00000212289,27521726
ENSG00000206785,65760186
ENSG00000263372,41271143
ENSG00000274760,49279208
ENSG00000265810,151433639
ENSG00000212237,228648032
ENSG00000276256,49164
ENSG00000261867,101205554
ENSG00000199094,71377031
ENSG00000206998,43451260
ENSG00000222783,130812095
ENSG00000199158,129774769
ENSG00000243770,174240457
ENSG00000251804,142407737
ENSG00000265059,32550090
ENSG00000201071,64111569
ENSG00000280704,70846295
ENSG00000208036,100094074
ENSG00000223271,66348375
ENSG00000199217,119656416
ENSG00000276770,43434620
ENSG00000207689,135239256
ENSG00000201675,49490048
ENSG00000264474,4788639
ENSG00000212259,95521475
ENSG00000201827,133551315
ENSG00000274230,97493286
ENSG00000222937,138559039
ENSG00000264342,90016720
ENSG00000276746,33563130
ENSG00000278515,36405304
ENSG00000263529,32458135
ENSG00000284464,20086142
ENSG00000206713,75089974
ENSG00000264056,53277071
ENSG00000207508,40177949
ENSG00000238431,57227066
ENSG00000207627,53951599
ENSG00000238523,50590712
ENSG00000242769,114697924
ENSG00000252802,26594041
ENSG00000278433,43609989
ENSG00000251706,30483195
ENSG00000221430,154347247
ENSG00000252777,28689794
ENSG00000283971,25664939
ENSG00000242889,57618393
ENSG00000199809,118829805
ENSG00000202241,30864552
ENSG00000275982,19649587
ENSG00000277464,32602411
ENSG00000252162,55398620
ENSG00000283469,206783308
ENSG00000271898,19314931
ENSG00000223118,123869570
ENSG00000207638,16539169
ENSG00000252128,21139957
ENSG00000199368,11392517
ENSG00000212228,11274236
ENSG00000252437,55146645
ENSG00000207634,53748722
ENSG00000222488,73019044
ENSG00000207802,60308567
ENSG00000251956,131602896
ENSG00000207193,16232330
ENSG00000222246,231892298
ENSG00000207263,25082859
ENSG00000206822,63621871
ENSG00000206845,164935268
ENSG00000276640,30136690
ENSG00000207788,53686555
ENSG00000283880,176188901
ENSG00000249784,1974760
ENSG00000283394,6650439
ENSG00000240186,31060285
ENSG00000274097,102057960
ENSG00000240347,80318544
ENSG00000243549,62650601
ENSG00000206907,111839934
ENSG00000281311,64146471
ENSG00000200211,95336201
ENSG00000264060,77397054
ENSG00000275107,44207839
ENSG00000274111,17813545
ENSG00000222973,2162953
ENSG00000244501,170867144
ENSG00000241552,18547605
ENSG00000212304,49280772
ENSG00000202195,52298096
ENSG00000199645,74779413
ENSG00000207996,59151221
ENSG00000202111,140719013
ENSG00000274172,105621180
ENSG00000202351,13548013
ENSG00000252260,77863567
ENSG00000207948,67202395
ENSG00000206908,53219424
ENSG00000201085,188121634
ENSG00000212302,22756829
ENSG00000267195,2050380
ENSG00000284152,57512750
ENSG00000265005,26025310
ENSG00000275574,46833407
ENSG00000251913,42569250
ENSG00000199381,72881214
ENSG00000252913,48932854
ENSG00000206806,40351672
ENSG00000238680,66946222
ENSG00000273778,105150864
ENSG00000221060,69804331
ENSG00000241461,49083532
ENSG00000283340,170151462
ENSG00000207993,101054759
ENSG00000243125,223248794
ENSG00000238813,166123597
ENSG00000201510,76736980
ENSG00000201988,30736414
ENSG00000221788,79419321
ENSG00000253031,103689577
ENSG00000266458,159900079
ENSG00000252369,83048640
ENSG00000275399,54973082
ENSG00000207495,69803041
ENSG00000277967,49280571
ENSG00000278520,42323859
ENSG00000263987,154104592
ENSG00000278794,1101273
ENSG00000274978,28648733
ENSG00000223168,51671563
ENSG00000206820,113420486
ENSG00000266041,65636369
ENSG00000207000,68935979
ENSG00000201990,6004385
ENSG00000206640,185258015
ENSG00000252854,46250213
ENSG00000274940,153689793
ENSG00000200884,96962757
ENSG00000265372,20552046
ENSG00000252952,23217534
ENSG00000278465,206474864
ENSG00000252408,3521320
ENSG00000238610,27897566
ENSG00000251990,17157071
ENSG00000222715,114763263
ENSG00000281394,155926086
ENSG00000207371,41917526
ENSG00000222092,29712008
ENSG00000207220,113950082
ENSG00000251971,238029063
ENSG00000253026,53153898
ENSG00000212595,151026406
ENSG00000284568,53787742
ENSG00000277001,91314997
ENSG00000265719,119378043
ENSG00000221028,201808702
ENSG00000252524,157064663
ENSG00000252005,73883822
ENSG00000199469,72576854
ENSG00000266738,19348505
ENSG00000200120,49137863
ENSG00000276102,62567071
ENSG00000265370,119958592
ENSG00000207116,200830116
ENSG00000206935,23162810
ENSG00000201318,100991990
ENSG00000238498,42076161
ENSG00000207923,47377770
ENSG00000207805,2134209
ENSG00000212380,25264590
ENSG00000206911,93827734
ENSG00000266570,79422226
ENSG00000200213,36066652
ENSG00000207275,82340876
ENSG00000277864,82756071
ENSG00000200406,100983947
ENSG00000283637,212926336
ENSG00000207713,6963766
ENSG00000264906,47364269
ENSG00000200686,78355328
ENSG00000239005,139436494
ENSG00000285776,69672597
ENSG00000252519,23849882
ENSG00000266887,48780353
ENSG00000266655,123536534
ENSG00000263616,8582655
ENSG00000278048,43252019
ENSG00000207719,99356228
ENSG00000283785,50049201
ENSG00000274284,38231144
ENSG00000222610,98889833
ENSG00000199075,37969480
ENSG00000283346,15134145
ENSG00000242928,149722372
ENSG00000206889,117544311
ENSG00000280554,66502089
ENSG00000284269,64785686
ENSG00000201308,135656579
ENSG00000252204,31811190
ENSG00000284078,86620575
ENSG00000266307,85306325
ENSG00000266439,10222073
ENSG00000207300,137784486
ENSG00000207761,101026864
ENSG00000200685,13686658
ENSG00000221287,133427706
ENSG00000201201,67321987
ENSG00000200471,54621131
ENSG00000252080,6748969
ENSG00000207959,101066801
ENSG00000207019,31345467
ENSG00000283795,192716390
ENSG00000202199,133238816
ENSG00000200488,76445410
ENSG00000284517,33287289
ENSG00000281159,130929883
ENSG00000252762,81928439
ENSG00000265957,44970166
ENSG00000275373,12163767
ENSG00000251875,179576349
ENSG00000207943,66787168
ENSG00000277138,135207078
ENSG00000200419,45592085
ENSG00000238862,52690827
ENSG00000199143,53788773
ENSG00000266192,96341526
ENSG00000200225,20415098
ENSG00000201097,92265807
ENSG00000266189,81451188
ENSG00000252438,12416000
ENSG00000212191,178685956
ENSG00000221442,147378121
ENSG00000263885,101519905
ENSG00000275519,55230952
ENSG00000275840,21396590
ENSG00000207797,35904926
ENSG00000239128,47250626
ENSG00000251970,18833890
ENSG00000252302,176763341
ENSG00000283327,24953867
ENSG00000199570,14352425
ENSG00000265321,27996449
ENSG00000252485,206007974
ENSG00000265861,97939121
ENSG00000207970,50013337
ENSG00000283801,72110
ENSG00000200397,87218712
ENSG00000275523,39447069
ENSG00000212282,12312690
ENSG00000200799,108392177
ENSG00000201242,27402587
ENSG00000276319,44196200
ENSG00000239105,37573213
ENSG00000212175,55565850
ENSG00000264934,109141588
ENSG00000283958,186786777
ENSG00000222934,86362474
ENSG00000199812,146571583
ENSG00000283856,24143565
ENSG00000274934,136134248
ENSG00000252835,7906260
ENSG00000284140,20085833
ENSG00000239333,16539439
ENSG00000201492,229550022
ENSG00000207716,11368921
ENSG00000277786,54876536
ENSG00000266449,76586691
ENSG00000201554,101458626
ENSG00000200536,110272607
ENSG00000212624,51724896
ENSG00000265213,98997460
ENSG00000283275,28819668
ENSG00000221400,43417438
ENSG00000274805,2464038
ENSG00000201659,47132826
ENSG00000221114,49684665
ENSG00000283636,63168847
ENSG00000253024,67395311
ENSG00000263361,154829540
ENSG00000253053,53816479
ENSG00000266698,184851110
ENSG00000257381,16300242
ENSG00000212316,75198177
ENSG00000265903,30854419
ENSG00000202476,30454097
ENSG00000243027,50689193
ENSG00000276824,33899200
ENSG00000252815,55032071
ENSG00000264732,181222633
ENSG00000212571,32050705
ENSG00000242398,62006016
ENSG00000265669,132115263
ENSG00000207808,13836517
ENSG00000251916,32550090
ENSG00000200521,157768113
ENSG00000222800,27109980
